ID,sex,edad,sobreviv,AE,BHL,FL,TTL,SW,SKL,TL,WT,HL
1,m,a,T,241,31.2,16.9672,25.9588,14.9098,21.082,154,24.5,17.4498
2,m,a,F,240,31,17.8816,27.813,15.3924,21.5138,165,26.5,18.7452
3,m,a,F,245,32,18.0086,28.1686,15.5194,21.3868,160,26.1,18.6944
4,m,a,T,252,30.8,18.0086,29.972,15.2908,21.3614,160,26.9,18.6944
5,m,a,T,243,30.6,17.8816,29.2354,15.2908,21.4884,155,26.9,18.6182
6,m,a,F,249,32.3,18.2372,28.6512,15.2908,21.0312,161,25.6,18.8722
7,m,a,T,245,31.7,17.4752,29.1084,14.8336,21.3106,154,24.3,18.8214
8,m,a,F,246,32.3,18.0086,28.829,15.4178,22.0726,162,25.9,18.7452
9,m,a,T,247,31.5,17.9324,28.6766,14.605,20.8534,156,24.1,18.161
10,m,a,F,250,32.5,18.5674,30.4038,15.8242,22.5552,163,25.5,19.1008
11,m,a,T,253,31.8,18.8722,29.0576,15.4178,22.6822,161,26.5,19.812
12,m,a,F,247,31.8,18.2626,28.2702,15.1638,22.0726,162,27.6,18.5674
13,m,a,T,251,31.1,18.6944,29.2862,15.494,21.8948,157,24.6,18.8214
14,m,a,F,246,31.4,16.8148,27.2542,15.3416,21.2344,163,25.8,17.5006
15,m,a,T,247,31.4,18.2372,28.6004,15.4686,20.1422,159,24.2,18.4912
16,m,a,F,246,30.5,18.4404,28.9052,14.732,20.3962,161,24.9,18.7706
17,m,a,T,247,29.8,17.0942,27.4066,15.2908,20.828,158,23.6,17.8562
18,m,a,F,242,31,18.1102,28.067,15.24,20.3962,160,26,18.923
19,m,a,T,252,32,18.7706,29.2862,15.5956,21.7678,158,26.2,19.0246
20,m,a,F,246,31.5,17.6784,27.7368,15.3924,20.5486,162,26.5,18.288
21,m,a,F,249,31.4,17.5006,27.8638,15.2908,21.59,160,26,18.4404
22,m,a,T,252,32,18.3642,28.6766,15.8496,22.6568,160,26.2,18.8214
23,m,a,F,250,31.6,18.0594,28.448,16.0274,21.6408,161,27.1,18.7198
24,m,a,T,253,32.3,19.1008,28.8036,16.0782,23.4442,162,24.8,19.4564
25,m,a,T,243,31.8,18.3388,28.6004,15.1638,22.6314,161,25.4,18.3134
26,m,a,F,248,31.9,18.3388,29.3116,15.0114,21.3106,162,25.1,18.8976
27,m,a,T,250,29.8,17.8562,28.0162,14.986,20.828,160,23.7,18.542
28,m,a,F,252,32.3,18.034,29.083,15.4686,22.5298,165,26,18.4404
29,m,a,T,247,31.4,18.2118,28.9814,15.0368,23.5458,159,25.7,18.5166
30,m,a,F,243,32.5,17.9578,28.4988,15.4178,21.1328,161,25.6,18.0086
31,m,a,T,253,31.9,17.7546,29.21,15.24,21.844,158,25.7,18.8722
32,m,a,F,244,31.3,17.399,27.4828,15.113,22.1996,161,25,17.8308
33,m,a,T,247,31.6,18.1356,29.337,15.5194,23.4442,159,26.5,18.6182
34,m,a,F,248,31,18.0086,27.5844,14.986,21.2598,162,24.6,18.1102
35,m,a,F,244,31.2,17.526,27.2796,15.4432,20.193,164,25,17.8562
36,m,a,T,253,32.5,19.431,31.242,15.24,22.3012,166,26.7,19.4818
37,m,a,F,247,32,18.034,29.083,15.4178,20.3962,158,26,18.5166
38,m,a,T,247,31.4,18.3642,28.2702,15.2908,20.955,159,23.9,19.1008
39,m,a,T,248,31.3,18.7198,29.8704,15.3162,20.3962,160,24.7,19.1008
40,m,a,F,253,31.8,18.2372,29.2608,15.4686,21.7678,162,28.3,19.1008
41,m,a,F,239,30.5,16.7132,26.4668,14.478,20.574,156,24.6,16.7386
42,m,a,T,252,31.8,18.5674,30.226,14.986,22.479,161,28,19.558
43,m,a,T,251,31.9,18.923,29.6672,15.7988,21.844,163,27.9,19.5326
44,m,a,F,251,31.5,17.5514,28.3972,15.5448,21.5138,166,27.5,18.288
45,m,a,T,242,32,18.0594,28.3464,15.4686,22.5044,156,25.9,18.3642
46,m,a,F,253,32.4,19.05,30.0482,15.5702,22.987,165,31,19.431
47,m,a,T,251,32.2,18.8468,29.4894,15.5702,21.971,165,25.7,19.0754
48,m,a,F,250,32.4,18.2372,29.9466,15.4178,23.2664,166,28.3,19.1516
49,m,a,T,247,32.4,17.9578,28.1432,14.986,21.2344,160,26.6,18.4912
50,m,y,F,249,30.4,18.2118,28.702,15.748,21.336,160,24.2,18.796
51,m,a,T,244,31.6,18.1102,29.0068,14.859,22.5552,158,23.2,18.542
52,m,y,F,236,30.2,17.0434,27.1018,14.3002,21.1328,156,26.8,17.526
53,m,a,T,242,31.6,17.907,28.5496,15.748,20.0152,160,25.7,18.0086
54,m,y,F,240,31,17.8308,28.2702,15.113,20.447,158,23.5,18.161
55,m,a,T,245,32.2,18.4404,29.0322,15.113,21.59,157,26.3,18.8214
56,m,y,F,245,31.7,17.653,28.1178,15.2654,21.5138,166,26.9,18.161
57,m,a,T,244,31.5,17.7292,28.1178,15.621,21.5138,159,24.3,18.3642
58,m,y,F,255,31.5,18.8976,29.845,15.5702,21.6916,165,28.6,17.9324
59,m,a,T,253,32.1,18.1356,28.3718,15.0368,21.9456,160,26.7,18.7706
60,m,y,F,238,31.2,17.1958,29.3624,15.2146,19.5326,157,24.7,17.272
61,m,a,T,245,31.4,17.8562,28.4226,14.732,21.6916,158,24.9,18.4404
62,m,y,F,250,31.8,18.4404,29.7434,14.9352,21.844,164,27.3,19.4056
63,m,a,T,247,31.4,17.6276,27.9654,15.2908,20.0406,161,23.8,18.669
64,m,y,F,256,31.7,19.0754,30.1498,15.113,21.7932,166,25.7,19.1008
65,m,a,T,247,32.3,18.923,28.829,15.4178,22.9108,160,25.6,19.2024
66,m,y,F,255,32.2,18.923,30.4038,16.2052,21.717,167,29,19.431
67,m,a,T,247,32,18.6944,29.8196,16.0274,22.1742,160,27,19.177
68,m,y,F,246,31.5,17.9578,28.5242,14.9098,21.59,161,25,18.7706
69,m,a,T,241,32.2,17.272,27.7368,15.0368,22.4536,153,24.7,18.4912
70,m,y,F,254,31.4,18.8468,28.5496,15.3416,23.2156,166,27.5,19.304
71,m,y,T,246,32,18.669,29.6418,15.0368,21.5646,156,24.6,18.8214
72,m,y,F,251,31.5,17.9578,28.4988,14.9606,21.0312,161,26,18.5674
73,f,,F,240,31.4,18.034,28.575,15.5956,20.701,155,26.3,18.0086
74,m,y,T,245,32.1,18.2118,29.1338,15.748,20.7264,156,25.5,19.3294
75,f,,F,240,31.5,17.2212,28.6258,15.1638,20.6248,156,25.8,18.161
76,m,y,T,248,32.2,18.6182,29.591,15.3924,21.6916,163,24.8,18.8468
77,f,,F,242,32.6,18.5928,29.3878,15.1638,21.6916,160,26,18.796
78,m,y,T,248,33,17.8816,29.1592,15.4686,21.3106,163,26.3,18.6944
79,f,,F,232,30.3,17.3482,26.6192,14.986,19.812,152,23.2,17.1704
80,m,y,T,250,31.5,18.161,29.7942,15.3416,22.6822,160,24.4,18.9484
81,f,,F,250,31.7,18.5674,30.1498,15.621,22.5044,160,26.5,18.8214
82,m,y,T,237,30.6,16.8656,25.6794,14.9352,19.6596,156,23.3,17.5768
83,f,,F,237,31,18.3642,28.3972,15.494,19.9898,155,24.2,18.4658
84,m,y,T,253,32,18.6436,30.4038,16.002,22.3012,162,26.7,19.2786
85,f,,F,245,32.2,19.0754,31.1658,15.748,21.3614,157,26.9,19.4564
86,m,y,T,254,32,19.05,29.591,15.367,22.5044,163,26.4,19.4564
87,f,,F,245,33.1,19.2278,30.353,16.0782,22.733,165,27.7,19.812
88,m,y,T,251,32,18.8468,29.7434,15.748,22.5044,164,26.9,19.177
89,f,,F,231,30.1,16.8148,26.4668,15.0368,19.8374,153,23.9,17.272
90,m,y,T,244,31.3,17.272,27.4828,15.494,22.6568,163,24.3,18.2372
91,f,,F,239,30.3,17.399,27.7368,14.9098,23.1394,162,26.1,18.0086
92,m,y,T,247,31.5,18.5928,29.8958,15.6718,21.4884,160,27,19.4056
93,f,,F,243,31.6,18.5166,29.5148,15.367,21.336,162,24.6,18.8214
94,m,y,T,250,32.5,18.5166,28.5242,16.129,21.3868,160,26.8,19.4056
95,f,,F,245,31.8,17.78,28.6766,15.494,21.717,159,23.6,18.4658
96,m,y,T,247,32.4,18.3896,28.9306,14.9352,21.971,158,24.9,18.923
97,f,,F,247,30.9,16.9164,27.8892,14.732,19.0246,159,26,18.0594
98,m,y,T,249,32.2,18.6944,29.1592,15.2908,20.7518,158,26.1,18.8468
99,f,,F,243,30.9,18.0594,28.6258,15.1892,21.3106,155,25,18.542
100,m,y,T,243,32.4,18.0594,29.5402,15.5448,22.6314,158,26.6,18.9738
101,f,,F,252,31.9,18.7452,29.972,15.621,22.225,162,24.8,19.1008
102,m,y,T,237,30.2,16.5862,25.6794,14.9098,20.1676,155,23.3,17.399
103,f,,F,230,30.4,16.8656,26.4668,13.9954,18.6436,152,22.8,17.3228
104,f,,T,245,31.6,18.034,29.2608,15.748,20.5486,156,25.3,18.5166
105,f,,T,240,30.4,17.4244,28.0162,14.8336,19.558,154,22.6,17.907
106,f,,F,242,30.8,16.9418,27.686,14.605,20.5486,159,24.8,18.2118
107,f,,T,240,31,18.1102,28.5242,14.859,20.6248,153,25.1,18.3896
108,f,,F,238,31.2,17.8308,27.9908,14.9352,19.2532,155,24.6,17.9324
109,f,,T,236,30.9,17.2212,28.7528,15.1384,20.193,153,23.2,17.7292
110,f,,F,249,33.4,19.4818,30.6578,16.256,22.7584,163,30.5,19.4818
111,f,,T,243,31.5,18.6944,29.718,15.1384,20.3454,155,24.4,18.6436
112,f,,F,242,31,18.1102,28.6512,15.4178,20.6502,163,24.8,18.1102
113,f,,F,237,31.7,18.1864,27.686,15.5194,20.32,156,23.9,18.2372
114,f,,T,247,32,18.6436,29.6164,15.2908,20.8534,163,25.1,18.9992
115,f,,T,238,30.9,18.4658,29.845,14.9352,20.2438,157,24.6,18.4404
116,f,,F,238,31.5,17.8054,29.083,15.24,20.32,159,24.7,18.4404
117,f,,T,239,32.8,18.8468,29.845,15.2654,21.209,155,24,18.5928
118,f,,F,245,32.1,17.8816,29.0068,15.4178,20.8026,161,26.9,19.0754
119,f,,F,235,30.7,17.5768,28.4226,14.8336,19.5834,155,22.6,17.653
120,f,,T,248,32.7,19.1008,30.5054,15.3416,21.082,164,24.2,19.1008
121,f,,T,238,31,17.526,27.7114,15.0368,21.9964,158,24.9,18.8214
122,f,,F,247,31.9,18.669,29.3878,15.6972,20.3708,162,26.1,19.0754
123,f,,F,237,30.6,18.2372,29.7688,15.0876,20.3708,153,24.8,18.5928
124,f,,T,240,31.3,17.9324,28.1178,15.0114,22.0218,158,24.1,18.6182
125,f,,T,244,31.1,18.542,29.2608,14.9606,20.5232,160,24,18.5674
126,f,,F,245,32.5,18.5674,27.9908,15.5956,21.1328,162,26.2,18.4912
127,f,,T,246,32.3,18.5928,29.3116,15.8242,21.8186,161,26,19.2532
128,f,,F,248,32.3,17.9578,29.4386,15.0368,20.9042,164,26.1,18.7706
129,f,,T,245,32,18.796,30.1244,15.0622,19.9898,157,24.9,19.1008
130,f,,T,235,31.5,17.8816,28.7528,15.5194,19.8374,157,25.5,18.0848
131,f,,T,237,30.9,17.5514,28.5242,15.5702,20.2692,156,23.4,17.9832
132,f,,T,244,31.4,17.907,29.1084,15.1638,21.6154,158,25.9,18.5166
133,f,,T,238,30.5,17.9578,28.3464,15.113,20.8534,153,24.2,18.161
134,f,,T,236,30.3,17.907,28.448,14.859,20.066,155,24.2,18.4658
135,f,,T,246,32.5,18.0594,29.5402,16.002,21.8948,163,27.4,18.5928
136,f,,T,236,31.5,18.1102,28.6766,15.4178,21.463,159,24,18.0086
